no_cars,frame,no_cars_time,colours_detected,colours_detected_time,car_type,car_type_time
1,587,0.217472,red,0.001423,hatchback,0.210534
1,588,0.206286,red,0.001473,hatchback,0.070981
1,589,0.200538,red,0.001414,hatchback,0.071871
1,590,0.204278,red,0.001972,hatchback,0.212201
1,591,0.213681,red,0.001462,hatchback,0.07443
1,592,0.215131,red,0.001477,hatchback,0.074287
1,593,0.197064,red,0.001413,hatchback,0.21019
1,594,0.201648,red,0.001425,hatchback,0.072386
1,595,0.202523,red,0.001394,hatchback,0.072468
1,596,0.204871,red,0.001477,hatchback,0.071964
1,597,0.259702,red,0.001438,hatchback,0.2118
1,598,0.20917,red,0.001503,hatchback,0.072436
1,599,0.203612,red,0.001439,hatchback,0.071963
1,600,0.207971,red,0.001476,hatchback,0.210804
0,601,0.223755,,,,
0,602,0.204242,,,,
0,603,0.199895,,,,
0,604,0.200525,,,,
0,605,0.200783,,,,
0,606,0.26834,,,,
0,607,0.203033,,,,
0,608,0.195068,,,,
0,609,0.203509,,,,
0,610,0.204302,,,,
0,611,0.198505,,,,
0,612,0.200269,,,,
0,613,0.204332,,,,
0,614,0.197987,,,,
0,615,0.197579,,,,
0,616,0.206206,,,,
0,617,0.200768,,,,
0,618,0.196353,,,,
0,619,0.202589,,,,
0,620,0.199231,,,,
0,621,0.199845,,,,
0,622,0.202724,,,,
0,623,0.282944,,,,
0,624,0.202008,,,,
0,625,0.221153,,,,
0,626,0.199739,,,,
0,627,0.203283,,,,
0,628,0.196478,,,,
0,629,0.198217,,,,
0,630,0.199531,,,,
0,631,0.199391,,,,
0,632,0.26009,,,,
0,633,0.202797,,,,
0,634,0.198686,,,,
0,635,0.197801,,,,
0,636,0.206469,,,,
0,637,0.202075,,,,
0,638,0.272703,,,,
0,639,0.289756,,,,
0,640,0.27501,,,,
0,641,0.200893,,,,
0,642,0.200298,,,,
0,643,0.297088,,,,
0,644,0.197734,,,,
0,645,0.275083,,,,
0,646,0.200043,,,,
0,647,0.200917,,,,
0,648,0.20545,,,,
0,649,0.200958,,,,
1,650,0.199294,silver,0.001453,hatchback,0.072405
1,651,0.2333,silver,0.001481,hatchback,0.072461
1,652,0.206637,black,0.00146,hatchback,0.21097
1,653,0.20874,black,0.001478,hatchback,0.071076
1,654,0.20574,black,0.001499,hatchback,0.073653
1,655,0.270457,black,0.001503,hatchback,0.207211
1,656,0.200904,black,0.001609,hatchback,0.07797
